Product/Plan,Category,User Type,Included Apps/Services,Key Features,Device Limits,Storage,Security Features,Licensing Model,Price Tier,Notes,Add-ons Available,On-Premise Rights,Target Use Case
Microsoft 365 E3,Enterprise,Enterprise,"Word, Excel, PowerPoint, Outlook, Teams, Exchange","Collaboration, Compliance, Analytics","5 PCs, 5 Tablets, 5 Phones",1 TB OneDrive,"DLP, MFA, Conditional Access",User-based,E3,Includes on-prem rights,"Power BI Pro, Defender",Yes,Full enterprise productivity
Microsoft 365 E5,Enterprise,Enterprise,"All E3 + Power BI Premium, Advanced Security","Advanced Threat Protection, Advanced Analytics","5 PCs, 5 Tablets, 5 Phones",1 TB OneDrive,"Advanced Threat Protection, Safe Attachments",User-based,E5,Highest security and analytics,"Defender Plan 2, Power BI Premium",Yes,High security & compliance
Office 365 A3,Education,Education,"Word, Excel, PowerPoint, Outlook, Teams","Education tools, basic compliance",5 Devices,1 TB OneDrive,Basic Security Tools,User-based,A3,For educational use,Viva Learning,Partial,Education sector
Office 365 F1,Frontline,Frontline,"Web apps (Word, Excel), Teams Basic",Basic collaboration behavior,Web/mobile only,2 GB mailbox,Basic security,User-based,F1,"Limited capabilities, no mailbox",None,Partial,Frontline workers
Windows 10 Enterprise E3,Windows OS,Enterprise,Windows OS with advanced features,"Device management, BitLocker, Defender",Per device,N/A,Endpoint protection,Device-based,E3,Requires underlying Pro license,Windows Defender ATP,Yes,Enterprise OS
Windows 10 Enterprise E5,Windows OS,Enterprise,All E3 + Defender ATP,Endpoint detection and response,Per device,N/A,"Defender ATP, endpoint security",Device-based,E5,Enhanced endpoint protection,Defender ATP,Yes,Advanced security OS
Enterprise Mobility Security E3,Mobility Security,Enterprise,Identity and access management,"Conditional Access, MFA",User-based,N/A,Advanced Identity Protection,User-based,EMS E3,Requires Office 365 E3 license,"Intune, Defender Add-ons",Yes,Mobile workforce management
Microsoft Defender Endpoint P2,Security Add-on,Enterprise,Endpoint threat detection,Advanced endpoint protection,Per device,N/A,Endpoint detection and response,Device-based,Add-on,Add-on for advanced endpoint protection,Defender features,No,Endpoint security addon
Microsoft Intune Plan 1,Device Management,Enterprise,Device and app management,Mobile Device Management (MDM),Per device,N/A,Policy enforcement,Device-based,Add-on,Requires EMS or Azure AD license,Endpoint analytics,Yes,Enterprise device management
Power BI Pro,Analytics,Enterprise,Business Intelligence dashboard,Analytics and visual reporting,Per user,N/A,Compliance supported,User-based,Add-on,Paid separately,N/A,N/A,Business intelligence
Office 365 Business Basic,Business,SMB,"Web Office apps, Email Exchange",Email and collaboration,300 users max,50 GB mailbox,Basic security,User-based,Basic,"Cloud only, web apps",None,No,Small business basic
Office 365 Business Standard,Business,SMB,"Full Office apps, Email, Teams",Full office suite + collaboration,300 users max,1 TB OneDrive,Basic security,User-based,Standard,Desktop apps included,None,No,SMB complete office
Office 365 Business Premium,Business,SMB,Standard + Advanced Security Enterprise Mobility,Mainstream security and device management,300 users max,1 TB OneDrive,EMS + Defender included,User-based,Premium,Adds device/security policies,"EMS, Defender",Partial,SMB security solution
Microsoft 365 Business Basic,Business,SMB,"Word, Excel, PowerPoint (Web), Exchange",Email + Office web apps,300 users max,50 GB mailbox,Basic security,User-based,Basic,"Cloud only, web apps",None,No,SMB cloud office
Microsoft 365 Business Standard,Business,SMB,"Full Office apps, Outlook, Exchange, OneDrive",Desktop apps + collaboration,300 users max,1 TB OneDrive,Basic security,User-based,Standard,Desktop apps included,None,No,SMB full office
Microsoft 365 Business Premium,Business,SMB,"Standard + Advanced Threat Protection, Intune",Security & compliance,300 users max,1 TB OneDrive,Advanced security included,User-based,Premium,Adds EMS and Defender,"EMS, Defender",Partial,SMB security suite
Microsoft Teams Essentials,Collaboration,All,Teams meetings and chat,Meetings and meetings recording,Unlimited,None,Basic security,User-based,Essentials,Simple meetings plan,None,No,Meeting & collaboration
Microsoft 365 F1,Frontline,Frontline,"Web Office apps, Teams calendar",Basic collaboration + calendar,Web/mobile only,2 GB mailbox,Basic security,User-based,F1,"Limited mailbox, app installs",None,Partial,Frontline workers
Microsoft 365 F3,Frontline,Frontline,"Full Office web apps, Teams",Web collaboration with device management,Web + limited devices,2 GB mailbox,Conditional Access,User-based,F3,Limited app install,Intune,Partial,Frontline workers
Microsoft 365 E1,Enterprise,Enterprise,"Office web apps, Exchange, Teams",Cloud productivity,Unlimited,50 GB mailbox,Basic security,User-based,E1,No desktop apps included,Intune,No,Cloud productivity
Microsoft 365 Business Voice,Communication,SMB,Phone system for Teams,Calling plans,User-based,N/A,Basic security,User-based,Add-on,Add-on phone system,None,No,Cloud telephony
Product/Plan,Category,User Type,Included Apps/Services,Key Features,Device Limits,Storage,Security Features,Licensing Model,Price Tier,Notes,Add-ons Available,On-Premise Rights,Target Use Case
Microsoft 365 Education A1,Education,Education,"Office apps web versions, Teams",Basic educational tools,Unlimited,1 TB OneDrive,Basic security,User-based,A1,Limited install,None,Partial,Education
Microsoft 365 Education A3,Education,Education,"Full Office apps, Teams, Exchange",Full educational suite,Unlimited,1 TB OneDrive,Advanced security,User-based,A3,Desktop installations available,EMS,Partial,Education
Microsoft 365 Education A5,Education,Education,A3 + Advanced security and analytics,Full features + compliance,Unlimited,1 TB OneDrive,Advanced compliance,User-based,A5,Highest education tier,"Defender, Power BI",Partial,Education
Microsoft 365 Business Add-ons,Add-ons,All,Various add-ons,"Power BI, Defender, Intune",Per user/device,N/A,Various according to addon,Add-on,Add-on,Enhancements to base plans,Multiple,Varies,Extend base licenses
Microsoft 365 F5 Security,Security,Enterprise,Advanced security solutions,"Endpoint, Identity Protection, Compliance",User-based,N/A,"Full security suite including Defender, EMS",Add-on,F5,Advanced security for enterprise,"Defender, Intune",Yes,High security enterprise
Microsoft 365 F5 Compliance,Security,Enterprise,Compliance tools,"Advanced eDiscovery, Audit, Customer Lockbox",User-based,N/A,Comprehensive compliance features,Add-on,F5,Compliance add-on,Compliance Manager,Yes,Compliance focused
Microsoft 365 F5 Information Protection,Security,Enterprise,Information protection & governance,"Data Loss Prevention, Privacy Management",User-based,N/A,Data classification and protection,Add-on,F5,Information protection services,Azure Information Protection,Yes,Data governance
Microsoft 365 F5 Insider Risk Management,Security,Enterprise,Insider risk management,"Communication Compliance, Risk analytics",User-based,N/A,Detection and mitigation of insider threats,Add-on,F5,Insider risk monitoring,Insider Risk Management,Yes,Risk mitigation
Microsoft 365 F5 eDiscovery and Audit,Security,Enterprise,eDiscovery and auditing tools,"Legal hold, investigation, audit",User-based,N/A,Enhanced eDiscovery capabilities,Add-on,F5,Legal and compliance auditing,eDiscovery,Yes,Legal compliance
Microsoft 365 F5 Defender for Endpoint,Security,Enterprise,Endpoint protection,Advanced threat defense,User-based,N/A,Defender for Endpoint P2,Add-on,F5,Advanced endpoint protection,Defender P2,Yes,Endpoint security
Microsoft 365 F5 Defender for Office 365,Security,Enterprise,Email and collaboration protection,"Safe attachments, anti-phishing",User-based,N/A,Defender for Office 365 Plan 2,Add-on,F5,Email security solution,Defender for Office 365,Yes,Email security
Microsoft 365 F5 Defender for Identity,Security,Enterprise,Identity protection,Identity threat detection,User-based,N/A,Defender for Identity,Add-on,F5,Identity threat protection,Defender for Identity,Yes,Identity protection
Microsoft 365 F5 Defender for Cloud Apps,Security,Enterprise,Cloud security,Cloud app defense and discovery,User-based,N/A,Defender for Cloud Apps,Add-on,F5,Cloud application security,Defender for Cloud Apps,Yes,Cloud security
Microsoft 365 Add-on Power BI Pro,Analytics,All,Power BI Pro,Advanced analytics,Per user,N/A,Enterprise grade analytics,Add-on,Add-on,Analytics add-on,N/A,N/A,Analytics
Microsoft 365 Add-on Power Automate,Automation,All,Power Automate,Workflow automation,Per user,N/A,Process automation,Add-on,Add-on,Workflow automation add-on,N/A,N/A,Automation
Microsoft 365 Add-on Power Apps,Automation,All,Power Apps,Business app creation,Per user,N/A,Low-code app development,Add-on,Add-on,Application development add-on,N/A,N/A,App building
Microsoft 365 Add-on Microsoft Defender Vulnerability Management,Security,Enterprise,Vulnerability assessment,Vulnerability management,Per device,N/A,Vulnerability management,Add-on,Add-on,Vulnerability management add-on,N/A,Yes,Vulnerability management
Microsoft 365 Add-on Microsoft Intune Suite,Device Mgmt,Enterprise,"Intune Remote Help, Advanced Analytics",Advanced device management,Per device,N/A,Extended Intune capabilities,Add-on,Add-on,Suite of Intune management tools,N/A,Yes,Device management suite
